Test,Pred_type,Group,Pred,Context,Sentence_pos,Sentence_neg,Explicit,Comments,,,,
,,,,,,,,,,,,
Design:,,,,,,,,,,,,
Group A: ,,,,,,,,,,,,
    US: lift  gather ,,,,,,,,,,,,
    S: weigh light numerous ,,,,,,,,,,,,
,,,,,,,,,,,,
Group B: ,,,,,,,,,,,,
    US: win perform,,,,,,,,,,,,12
    S: cost heavy few,,,,,,,,,,,,10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Hom ,US,A,lift,20 out of 40 kids lifted the piano together and the other 20 did nothing.,The forty kids lifted the piano,The forty kids didn't lift the piano,,,,,,
Hom,US,A,gather,the girls gathered and the boys were each at their own place.,The girls and the boys gathered,The girls and the boys didn't gather,,,,,,
Hom,US,B,win,5 out of 10 students won the lottery together and the other 5 won nothing.,The ten students won the lottery,The ten students didn't win the lottery,,,,,,
Hom ,US,B,perform,10 out of 20 actors performed Hamlet together while the other 10 watched.,The twenty actors performed Hamlet,The twenty actors didn't perform Hamlet,,,,,,
Hom,S,A,weigh,5 out of 10 books weigh 5 kgs together and the other 5 weigh 2 kgs together.   ,The ten books weigh 5 kgs,The ten books don't weigh 5 kgs,,,,,,
Hom,S,A,light,3 out of 6 bottles are light enough to carry together and the other 3 are heavy together.,The six bottles are light enough to carry,The six bottles aren't light enough to carry,,,,,,
Hom,S,A,numerous,the girls are numerous and the boys are few in number.,The girls and the boys are numerous,The girls and the boys aren't numerous,,,,,,
Hom,S,B,cost,5 out of 10 books together cost 6 dollars and the other 5 cost 3 dollars together.   ,The ten books cost six dollars,The ten books don't cost six dollars,,,,,,
Hom,S,B,heavy,3 out of 6 bottles are light enough to carry together and the other 3 together are heavy.,The six bottles are heavy,The six bottles aren't heavy,,,,,,
Hom,S,B,few,the girls are few in number and the boys are numerous.,The girls and the boys are few in number,The girls and the boys aren't few in number,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
